Time_M15,Hour,Session,Type,Close_Price,M15_RSI,M15_STOCH_K,M15_STOCH_D,M1_RSI_Min,M1_RSI_Max,M15_ATR,H1_ATR,M15_ATR_High_Volatility,M15_Volume_Spike,Pattern,Divergence,M15_BB_Breakout_%
2026-04-09 20:30:00,20,NY Session (15:00-24:00),Đỉnh,4795.17,67.15,76.08,75.98,41.85,66.77,11.80321,24.40941,False,False,Pin Bar,None,0.0
2026-04-10 11:45:00,11,London Session (08:00-15:00),Đáy,4740.57,35.09,25.45,27.31,18.72,49.91,8.63361,20.21546,False,False,Pin Bar,None,0.171
2026-04-10 17:30:00,17,NY Session (15:00-24:00),Đỉnh,4780.66,61.01,80.13,77.18,31.42,68.33,11.26364,20.14675,False,False,None,Bearish Divergence,0.132
2026-04-13 01:15:00,1,Asian Session (00:00-08:00),Đáy,4646.73,12.39,18.27,23.3,24.05,39.13,17.21539,25.73542,True,False,None,None,0.931
2026-04-13 20:15:00,20,NY Session (15:00-24:00),Đỉnh,4742.99,61.61,74.5,80.1,44.22,71.6,12.84004,22.88581,False,False,None,None,0.099
2026-04-14 01:00:00,1,Asian Session (00:00-08:00),Đáy,4748.28,62.17,63.74,65.35,57.09,80.94,9.18723,20.83057,False,False,None,None,0.0
2026-04-14 22:45:00,22,NY Session (15:00-24:00),Đỉnh,4844.74,72.83,87.49,87.04,49.45,66.56,8.95664,20.07671,False,False,None,None,0.0
2026-04-15 04:15:00,4,Asian Session (00:00-08:00),Đỉnh,4850.64,65.52,64.7,49.32,46.39,85.08,10.33733,19.76177,False,True,Pin Bar,None,0.424
2026-04-15 12:45:00,12,London Session (08:00-15:00),Đáy,4798.05,33.59,22.17,31.63,30.12,55.74,10.12905,19.23625,False,False,Pin Bar,None,0.199
2026-04-16 08:00:00,8,London Session (08:00-15:00),Đỉnh,4834.34,65.04,91.2,91.14,53.62,84.76,6.56347,16.36755,False,False,Pin Bar,Bearish Divergence,0.035
2026-04-16 17:30:00,17,NY Session (15:00-24:00),Đáy,4787.64,29.3,35.61,35.07,24.1,54.47,11.49362,17.53499,True,True,None,None,0.414
2026-04-17 04:30:00,4,Asian Session (00:00-08:00),Đáy,4777.64,39.25,21.05,38.2,32.66,52.33,8.27212,15.8566,False,True,None,Bullish Divergence,0.17
2026-04-17 16:00:00,16,NY Session (15:00-24:00),Đỉnh,4882.99,88.15,95.98,92.86,58.63,85.61,12.76085,20.62235,True,True,None,None,0.794
2026-04-20 02:45:00,2,Asian Session (00:00-08:00),Đáy,4755.05,17.1,12.26,13.05,18.19,50.29,14.14165,24.54336,False,True,Pin Bar,Bullish Divergence,0.013
2026-04-20 17:30:00,17,NY Session (15:00-24:00),Đỉnh,4813.96,56.24,67.61,72.35,34.24,62.28,10.42682,21.73973,False,False,None,Bearish Divergence,0.0
2026-04-21 01:15:00,1,Asian Session (00:00-08:00),Đỉnh,4828.81,66.63,84.77,75.72,50.74,69.23,6.80531,17.59692,False,False,Pin Bar,Bearish Divergence,0.105
2026-04-21 22:30:00,22,NY Session (15:00-24:00),Đáy,4671.46,27.59,42.8,49.2,11.94,60.39,15.43858,24.56898,False,False,Engulfing,None,0.205
2026-04-22 01:45:00,1,Asian Session (00:00-08:00),Đáy,4719.42,50.05,81.89,84.99,40.69,57.49,13.23339,25.58422,False,False,Engulfing,None,0.0
2026-04-22 10:00:00,10,London Session (08:00-15:00),Đỉnh,4765.55,61.09,67.55,66.31,41.08,71.7,7.22009,19.47406,False,False,Pin Bar,Bearish Divergence,0.029
2026-04-23 03:45:00,3,Asian Session (00:00-08:00),Đỉnh,4747.95,57.62,92.22,64.72,51.76,67.16,10.56388,18.90839,False,True,Pin Bar,None,0.0
2026-04-23 13:00:00,13,London Session (08:00-15:00),Đáy,4688.94,33.98,13.29,15.4,19.55,55.74,8.90708,17.85268,False,False,None,None,0.132
