Time_H1,Hour,Session,Type,Close_Price,H1_RSI,H1_STOCH_K,H1_STOCH_D,M1_RSI_Min,M1_RSI_Max,H1_ATR,H1_ATR_High_Volatility,H1_Volume_Spike,Pattern,Divergence,H1_BB_Breakout_%
2025-10-07 18:00:00,18,NY Session (15:00-24:00),Đỉnh,3966.0,54.71,77.95,85.84,,,14.10843,False,True,Engulfing,Bearish Divergence,0.15
2025-10-08 01:00:00,1,Asian Session (00:00-08:00),Đáy,3989.43,64.96,80.36,75.14,,,12.27141,False,False,None,None,0.0
2025-10-08 19:00:00,19,NY Session (15:00-24:00),Đỉnh,4056.5,75.83,89.1,80.97,,,13.1574,False,False,None,None,0.0
2025-10-09 16:00:00,16,NY Session (15:00-24:00),Đỉnh,4017.32,43.96,63.89,84.51,,,15.94979,False,True,Engulfing,None,0.0
2025-10-09 20:00:00,20,NY Session (15:00-24:00),Đáy,3950.22,26.93,9.87,16.37,,,20.61468,False,True,None,None,0.731
2025-10-10 07:00:00,7,Asian Session (00:00-08:00),Đáy,3966.11,38.79,45.31,47.69,,,18.92068,False,False,Pin Bar,None,0.0
2025-10-10 18:00:00,18,NY Session (15:00-24:00),Đỉnh,3997.76,53.42,61.79,61.64,,,19.5228,False,True,Pin Bar,None,0.507
2025-10-13 01:00:00,1,Asian Session (00:00-08:00),Đáy,4042.34,67.63,83.52,69.82,,,21.60924,False,False,Engulfing,None,0.0
2025-10-13 19:00:00,19,NY Session (15:00-24:00),Đỉnh,4105.56,77.82,85.12,88.19,,,16.44007,False,False,Pin Bar,None,0.025
2025-10-14 08:00:00,8,London Session (08:00-15:00),Đỉnh,4120.97,57.69,71.22,85.26,,,19.61329,False,True,None,Bearish Divergence,0.344
2025-10-14 09:00:00,9,London Session (08:00-15:00),Đáy,4112.16,54.05,47.51,71.41,,,21.31948,False,True,Pin Bar,None,0.0
2025-10-15 01:00:00,1,Asian Session (00:00-08:00),Đáy,4158.28,63.59,81.68,81.85,,,19.55735,False,False,None,None,0.0
2025-10-15 11:00:00,11,London Session (08:00-15:00),Đỉnh,4208.09,73.22,92.99,91.55,,,17.427,False,False,Pin Bar,None,0.0
2025-10-16 01:00:00,1,Asian Session (00:00-08:00),Đáy,4213.15,65.7,90.26,82.85,,,16.96001,False,False,Pin Bar,None,0.0
2025-10-16 23:00:00,23,NY Session (15:00-24:00),Đỉnh,4325.93,81.51,92.7,91.56,,,19.24304,False,False,None,None,0.316
2025-10-17 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4346.57,84.16,88.65,91.16,,,21.72782,False,False,Pin Bar,None,1.059
2025-10-17 20:00:00,20,NY Session (15:00-24:00),Đáy,4220.83,36.36,12.76,13.69,,,34.60807,True,False,None,Bullish Divergence,0.582
2025-10-20 03:00:00,3,Asian Session (00:00-08:00),Đáy,4249.29,45.07,60.93,52.2,,,32.60016,False,False,None,None,0.0
2025-10-20 22:00:00,22,NY Session (15:00-24:00),Đỉnh,4377.86,69.88,95.14,94.06,,,25.33602,False,False,None,None,0.0
2025-10-21 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,4367.32,64.86,86.16,90.41,,,25.68228,False,False,None,None,0.0
2025-10-21 17:00:00,17,NY Session (15:00-24:00),Đáy,4138.84,21.92,9.6,7.08,,,35.94788,False,True,Pin Bar,None,2.023
2025-10-22 03:00:00,3,Asian Session (00:00-08:00),Đáy,4074.93,20.6,29.2,24.31,,,36.19963,False,False,Pin Bar,None,0.184
2025-10-22 09:00:00,9,London Session (08:00-15:00),Đỉnh,4155.64,45.83,92.32,90.17,,,35.08483,False,False,None,None,0.0
2025-10-23 03:00:00,3,Asian Session (00:00-08:00),Đáy,4081.72,45.67,75.35,81.35,,,34.53039,False,False,Pin Bar,None,0.0
2025-10-23 17:00:00,17,NY Session (15:00-24:00),Đỉnh,4148.09,60.92,87.5,75.5,,,26.30512,False,False,Pin Bar,None,0.209
2025-10-24 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,4118.66,49.92,39.98,36.19,,,22.73014,False,False,Engulfing,None,0.0
2025-10-24 14:00:00,14,London Session (08:00-15:00),Đáy,4061.24,35.71,14.96,13.92,,,21.52164,False,False,Pin Bar,Bullish Divergence,0.134
2025-10-27 00:00:00,0,Asian Session (00:00-08:00),Đỉnh,4081.56,43.11,51.56,61.77,,,24.02524,False,False,None,None,0.0
2025-10-27 17:00:00,17,NY Session (15:00-24:00),Đáy,3989.89,29.11,11.35,18.16,,,24.6186,False,False,Pin Bar,Bullish Divergence,0.483
2025-10-28 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,4010.85,43.11,74.69,53.21,,,22.53317,False,False,Pin Bar,None,0.0
