Time,Type,Close_Price,RSI,BB_Lower,BB_Upper,Distance_to_EMA50,High_Volatility
2024-08-29 04:00:00,Bearish Reversal (Peak),2513.06,55.61,,,2.68981,False
2024-08-29 15:00:00,Bullish Reversal (Valley),2509.08,43.92,,,-3.815,False
2024-08-29 20:00:00,Bearish Reversal (Peak),2525.75,61.43,,,11.10164,False
2024-08-30 07:00:00,Bullish Reversal (Valley),2513.23,42.94,,,-2.44949,False
2024-08-30 12:00:00,Bearish Reversal (Peak),2524.12,61.2,,,7.71628,False
2024-09-02 05:00:00,Bullish Reversal (Valley),2491.83,27.77,,,-18.70418,False
2024-09-03 11:00:00,Bearish Reversal (Peak),2503.85,58.68,,,1.37099,False
2024-09-03 17:00:00,Bullish Reversal (Valley),2478.16,29.11,,,-21.47822,False
2024-09-04 11:00:00,Bullish Reversal (Valley),2473.16,27.92,,,-21.45446,False
2024-09-04 19:00:00,Bearish Reversal (Peak),2496.61,56.26,,,3.23594,False
2024-09-05 15:00:00,Bearish Reversal (Peak),2517.58,73.05,,,18.66596,False
2024-09-06 15:00:00,Bearish Reversal (Peak),2522.11,63.69,,,12.50485,False
2024-09-09 08:00:00,Bullish Reversal (Valley),2487.74,31.95,,,-16.00261,False
2024-09-09 19:00:00,Bearish Reversal (Peak),2504.26,55.88,,,2.86164,False
2024-09-10 07:00:00,Bullish Reversal (Valley),2501.64,49.2,,,-0.72717,False
2024-09-10 15:00:00,Bearish Reversal (Peak),2513.72,65.89,,,10.46672,False
2024-09-11 09:00:00,Bearish Reversal (Peak),2526.48,73.28,,,16.30457,False
2024-09-11 15:00:00,Bullish Reversal (Valley),2508.01,39.58,,,-4.21914,False
2024-09-12 01:00:00,Bearish Reversal (Peak),2512.76,47.56,,,0.47168,False
2024-09-12 13:00:00,Bullish Reversal (Valley),2513.1,46.61,,,-0.38288,False
2024-09-12 17:00:00,Bearish Reversal (Peak),2553.26,79.51,,,36.26829,True
2024-09-13 11:00:00,Bearish Reversal (Peak),2569.83,79.73,,,30.3349,False
2024-09-16 08:00:00,Bearish Reversal (Peak),2588.67,77.25,,,26.43226,False
2024-09-17 09:00:00,Bearish Reversal (Peak),2584.23,56.14,,,9.89802,False
2024-09-17 19:00:00,Bullish Reversal (Valley),2562.96,34.13,,,-11.27008,False
2024-09-18 14:00:00,Bearish Reversal (Peak),2577.34,56.05,,,4.36101,False
2024-09-18 22:00:00,Bullish Reversal (Valley),2548.83,32.89,,,-23.04877,True
2024-09-19 12:00:00,Bearish Reversal (Peak),2591.7,67.43,,,20.42672,False
2024-09-20 15:00:00,Bearish Reversal (Peak),2615.45,75.41,,,27.77783,False
2024-09-23 08:00:00,Bearish Reversal (Peak),2629.89,71.21,,,25.89013,False
2024-09-24 07:00:00,Bearish Reversal (Peak),2637.99,69.52,,,20.19975,False
2024-09-25 05:00:00,Bearish Reversal (Peak),2669.97,75.04,,,34.76464,False
2024-09-25 20:00:00,Bearish Reversal (Peak),2660.51,57.35,,,15.05589,False
2024-09-26 14:00:00,Bearish Reversal (Peak),2682.65,75.61,,,27.97678,False
2024-09-27 06:00:00,Bearish Reversal (Peak),2673.55,56.95,,,11.56605,False
2024-09-27 20:00:00,Bullish Reversal (Valley),2645.01,31.73,,,-16.09101,False
2024-09-30 02:00:00,Bearish Reversal (Peak),2663.46,52.92,,,3.08443,False
2024-09-30 22:00:00,Bullish Reversal (Valley),2630.85,33.43,,,-20.01255,False
2024-10-01 16:00:00,Bearish Reversal (Peak),2667.47,75.77,,,19.42216,False
2024-10-02 08:00:00,Bullish Reversal (Valley),2647.84,42.17,,,-5.07018,False
2024-10-02 10:00:00,Bearish Reversal (Peak),2655.28,51.38,,,2.4001,False
2024-10-03 02:00:00,Bearish Reversal (Peak),2660.21,58.1,,,6.82988,False
2024-10-03 15:00:00,Bullish Reversal (Valley),2642.24,36.58,,,-9.8705,False
2024-10-04 08:00:00,Bearish Reversal (Peak),2667.32,67.16,,,12.44908,False
2024-10-04 15:00:00,Bullish Reversal (Valley),2638.71,32.71,,,-16.46322,False
2024-10-07 14:00:00,Bearish Reversal (Peak),2656.88,56.1,,,4.66663,False
2024-10-07 15:00:00,Bullish Reversal (Valley),2639.96,40.59,,,-11.77284,False
2024-10-08 14:00:00,Bearish Reversal (Peak),2650.6,56.32,,,4.21979,False
2024-10-08 19:00:00,Bullish Reversal (Valley),2608.84,28.88,,,-33.61746,False
2024-10-09 21:00:00,Bullish Reversal (Valley),2606.24,36.29,,,-19.00806,False
2024-10-10 14:00:00,Bullish Reversal (Valley),2612.93,47.22,,,-6.46437,False
